In the beginning God created the heaven and the earth . ||| U početku stvori Bog nebo i zemlju .
And the earth was without form , and void ; and darkness was upon the face of the deep . And the Spirit of God moved upon the face of the waters . ||| Zemlja bijaše pusta i prazna ; tama se prostirala nad bezdanom i Duh Božji lebdio je nad vodama .
And God said , Let there be light : and there was light . ||| I reče Bog : " Neka bude svjetlost ! " I bi svjetlost .
And God saw the light , that it was good : and God divided the light from the darkness . ||| I vidje Bog da je svjetlost dobra ; i rastavi Bog svjetlost od tame .
And God called the light Day , and the darkness he called Night . And the evening and the morning were the first day . ||| Svjetlost prozva Bog dan , a tamu prozva noć . Tako bude večer , pa jutro - dan prvi .
And God said , Let there be a firmament in the midst of the waters , and let it divide the waters from the waters . ||| I reče Bog : " Neka bude svod posred voda da dijeli vode od voda ! " I bi tako .
And God made the firmament , and divided the waters which were under the firmament from the waters which were above the firmament : and it was so . ||| Bog načini svod i vode pod svodom odijeli od voda nad svodom .
And God called the firmament Heaven . And the evening and the morning were the second day . ||| A svod prozva Bog nebo . Tako bude večer , pa jutro - dan drugi .
And God said , Let the waters under the heaven be gathered together unto one place , and let the dry land appear : and it was so . ||| I reče Bog : " Vode pod nebom neka se skupe na jedno mjesto i neka se pokaže kopno ! " I bi tako .
And God called the dry land Earth ; and the gathering together of the waters called he Seas : and God saw that it was good . ||| Kopno prozva Bog zemlja , a skupljene vode mora . I vidje Bog da je dobro .
And God said , Let the earth bring forth grass , the herb yielding seed , and the fruit tree yielding fruit after his kind , whose seed is in itself , upon the earth : and it was so . ||| I reče Bog : " Neka proklija zemlja zelenilom - travom sjemenitom , stablima plodonosnim , koja , svako prema svojoj vrsti , na zemlji donose plod što u sebi nosi svoje sjeme . I bi tako .
And the earth brought forth grass , and herb yielding seed after his kind , and the tree yielding fruit , whose seed was in itself , after his kind : and God saw that it was good . ||| I nikne iz zemlje zelena trava što se sjemeni , svaka prema svojoj vrsti , i stabla koja rode plodovima što u sebi nose svoje sjeme , svako prema svojoj vrsti . I vidje Bog da je dobro .
And the evening and the morning were the third day . ||| Tako bude večer , pa jutro - dan treći .
And God said , Let there be lights in the firmament of the heaven to divide the day from the night ; and let them be for signs , and for seasons , and for days , and years : ||| I reče Bog : " Neka budu svjetlila na svodu nebeskom da luče dan od noći , da budu znaci blagdanima , danima i godinama ,
And let them be for lights in the firmament of the heaven to give light upon the earth : and it was so . ||| i neka svijetle na svodu nebeskom i rasvjetljuju zemlju ! " I bi tako .
And God made two great lights ; the greater light to rule the day , and the lesser light to rule the night : he made the stars also . ||| I načini Bog dva velika svjetlila - veće da vlada danom , manje da vlada noću - i zvijezde .
And God set them in the firmament of the heaven to give light upon the earth , ||| I Bog ih postavi na svod nebeski da rasvjetljuju zemlju ,
And to rule over the day and over the night , and to divide the light from the darkness : and God saw that it was good . ||| da vladaju danom i noću i da rastavljaju svjetlost od tame . I vidje Bog da je dobro .
And the evening and the morning were the fourth day . ||| Tako bude večer , pa jutro - dan četvrti .
And God said , Let the waters bring forth abundantly the moving creature that hath life , and fowl that may fly above the earth in the open firmament of heaven . ||| I reče Bog : " Nek ' povrvi vodom vreva živih stvorova , i ptice nek ' polete nad zemljom , svodom nebeskim ! " I bi tako .
And God created great whales , and every living creature that moveth , which the waters brought forth abundantly , after their kind , and every winged fowl after his kind : and God saw that it was good . ||| Stvori Bog morske grdosije i svakovrsne žive stvorove što mile i vrve vodom i ptice krilate svake vrste . I vidje Bog da je dobro .
And God blessed them , saying , Be fruitful , and multiply , and fill the waters in the seas , and let fowl multiply in the earth . ||| I blagoslovi ih govoreći : " Plodite se i množite i napunite vode morske ! I ptice neka se namnože na zemlji ! "
And the evening and the morning were the fifth day . ||| Tako bude večer , pa jutro - dan peti .
And God said , Let the earth bring forth the living creature after his kind , cattle , and creeping thing , and beast of the earth after his kind : and it was so . ||| I reče Bog : " Neka zemlja izvede živa bića , svako prema svojoj vrsti : stoku , gmizavce i zvjerad svake vrste ! " I bi tako .
And God made the beast of the earth after his kind , and cattle after their kind , and every thing that creepeth upon the earth after his kind : and God saw that it was good . ||| I stvori Bog svakovrsnu zvjerad , stoku i gmizavce svake vrste . I vidje Bog da je dobro .
